Product Name,Category,Description,MRP,Selling Price,Stock,SKU
Money Plant,Bulk Gifting,"Epipremnum aureum. The classic good-luck gift. Trails beautifully, purifies air and thrives in low light - almost impossible to kill, ideal for busy desks. Custom logo pot & message card available. Minimum order 25 units.",349,249,500,BG-001
Snake Plant,Bulk Gifting,"Sansevieria trifasciata. Releases oxygen at night and tolerates neglect. Architectural upright leaves make it a premium, modern corporate gift. Custom logo pot & message card available. Minimum order 25 units.",449,349,500,BG-002
Lucky Bamboo,Bulk Gifting,"Dracaena sanderiana. Grows in just water and symbolises prosperity. A favourite festive and Vastu-friendly gift that needs zero soil and minimal care. Custom branding available. Minimum order 25 units.",399,299,500,BG-003
Jade Plant,Bulk Gifting,"Crassula ovata. The money tree succulent that signifies wealth and growth. Plump leaves, slow-growing and perfect for sunny office windows. Custom branding available. Minimum order 25 units.",379,279,500,BG-004
ZZ Plant,Bulk Gifting,"Zamioculcas zamiifolia. Glossy, waxy foliage that survives weeks without water and low light - the ultimate fuss-free gift for first-time plant parents. Custom branding available. Minimum order 25 units.",499,399,500,BG-005
Peace Lily,Bulk Gifting,"Spathiphyllum wallisii. Elegant white blooms and NASA-listed air-cleaning power. A graceful, premium gift that brings calm to any cabin or desk. Custom branding available. Minimum order 25 units.",549,429,500,BG-006
Aloe Vera,Bulk Gifting,"Aloe barbadensis. A healing succulent that doubles as a wellness gift. Soothes skin, purifies air and needs watering only once a fortnight. Custom branding available. Minimum order 25 units.",359,269,500,BG-007
Areca Palm,Bulk Gifting,"Dypsis lutescens. Feathery, tropical fronds that humidify and purify large spaces. A statement gift for senior leadership and reception areas. Custom branding available. Minimum order 25 units.",699,549,300,BG-008
Spider Plant,Bulk Gifting,"Chlorophytum comosum. Arching striped leaves and baby spiderettes make it lively and fun. Removes indoor toxins and forgives missed waterings. Custom branding available. Minimum order 25 units.",329,239,500,BG-009
English Ivy,Bulk Gifting,"Hedera helix. Lush trailing vines that soften shelves and partitions. A top air-purifier that adds instant greenery to any workspace. Custom branding available. Minimum order 25 units.",389,289,500,BG-010
Philodendron,Bulk Gifting,"Philodendron hederaceum. Heart-shaped leaves on graceful vines. Adaptable, fast-growing and welcoming - a warm, affordable gift for any team. Custom branding available. Minimum order 25 units.",349,259,500,BG-011
Ficus Bonsai,Bulk Gifting,"Ficus microcarpa. A miniature living tree that signals patience and prestige. A high-perceived-value gift for clients and milestone awards. Custom branding available. Minimum order 15 units.",899,699,200,BG-012
Syngonium,Bulk Gifting,"Syngonium podophyllum. Soft arrowhead leaves in pink and green. Compact, photogenic and easy - a trendy desk gift the whole office will admire. Custom branding available. Minimum order 25 units.",339,249,500,BG-013
Rubber Plant,Bulk Gifting,"Ficus elastica. Bold, glossy burgundy-green leaves that make a striking statement. Robust and air-purifying - great for cabins and lobbies. Custom branding available. Minimum order 20 units.",599,459,300,BG-014
Tulsi (Holy Basil),Bulk Gifting,"Ocimum sanctum. Sacred, fragrant and immunity-boosting. A meaningful, wellness-led gift especially loved for festive and housewarming gifting. Custom branding available. Minimum order 25 units.",279,199,500,BG-015
Succulent Trio,Bulk Gifting,"Echeveria & mixed succulents. A charming set of three rosette succulents in mini pots. Compact, colourful and ultra-low-care - ideal high-volume return gifts. Custom branding available. Minimum order 25 sets.",449,329,400,BG-016
Fiddle Leaf Fig,Bulk Gifting,"Ficus lyrata. Large violin-shaped leaves and designer appeal. A luxe, Instagram-famous gift for executives and premium client hampers. Custom branding available. Minimum order 15 units.",999,799,150,BG-017
Boston Fern,Bulk Gifting,"Nephrolepis exaltata. Feathery cascading fronds that add freshness and humidity. A soft, natural accent gift perfect for shelves and hampers. Custom branding available. Minimum order 25 units.",419,319,400,BG-018
Dracaena Marginata,Bulk Gifting,"Dracaena marginata. Slender stems crowned with spiky red-edged leaves. A sleek, modern air-purifier that elevates desks and meeting rooms. Custom branding available. Minimum order 20 units.",629,479,300,BG-019
Monstera Deliciosa,Bulk Gifting,"Monstera deliciosa. The iconic split-leaf Swiss cheese plant. Bold, tropical and highly desirable - a show-stopping gift for special recipients. Custom branding available. Minimum order 15 units.",849,649,200,BG-020
